epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1259.08,1.2779,0.58649,0.00298,0.86977,0.94428,0.94317,0.65312,1.0477,0.40724,0.00266,0.000742866,0.000742866,0.000742866
99,1272.24,1.24267,0.58968,0.0029,0.97335,0.85551,0.9468,0.6644,1.02103,0.38521,0.0026,0.000735792,0.000735792,0.000735792
100,1285.53,1.22662,0.59015,0.00303,0.94714,0.83912,0.94044,0.65229,1.03243,0.41407,0.00258,0.000728719,0.000728719,0.000728719
101,1298.52,1.23855,0.56996,0.00295,0.96017,0.84877,0.9456,0.65869,1.03522,0.38311,0.00259,0.000721645,0.000721645,0.000721645
102,1310.97,1.28699,0.62305,0.00325,0.84727,0.89221,0.93626,0.64856,1.03736,0.44209,0.00262,0.000714571,0.000714571,0.000714571
103,1322.78,1.25328,0.59079,0.003,0.97904,0.85901,0.93997,0.64575,1.04663,0.41345,0.00263,0.000707498,0.000707498,0.000707498
104,1335.76,1.25696,0.57221,0.00299,0.95386,0.86817,0.94215,0.65241,1.03321,0.38725,0.0026,0.000700424,0.000700424,0.000700424
105,1349.09,1.25887,0.58279,0.00307,0.93611,0.8804,0.94586,0.65243,1.05101,0.38931,0.00263,0.000693351,0.000693351,0.000693351
106,1362.15,1.26417,0.57305,0.00295,0.84142,0.89489,0.9269,0.62787,1.1028,0.43723,0.00284,0.000686277,0.000686277,0.000686277
107,1375.42,1.2632,0.57027,0.0029,0.87811,0.88191,0.93225,0.62678,1.12809,0.43313,0.0029,0.000679204,0.000679204,0.000679204
108,1388.46,1.27026,0.57202,0.00277,0.89301,0.89443,0.94574,0.65089,1.05358,0.39541,0.00268,0.00067213,0.00067213,0.00067213
109,1400.52,1.26973,0.58008,0.0031,0.9391,0.84785,0.94311,0.64884,1.05142,0.39524,0.00264,0.000665057,0.000665057,0.000665057
110,1412.56,1.22817,0.59973,0.00327,0.94801,0.88287,0.95085,0.65703,1.05069,0.36004,0.00267,0.000657983,0.000657983,0.000657983
111,1425.61,1.24406,0.58244,0.00301,0.83699,0.94473,0.93612,0.62757,1.09664,0.45662,0.00279,0.000650909,0.000650909,0.000650909
112,1439.24,1.22895,0.60578,0.00338,0.95729,0.84455,0.94052,0.64955,1.0531,0.42165,0.00267,0.000643836,0.000643836,0.000643836
113,1452.41,1.23674,0.56436,0.003,0.98717,0.88269,0.95254,0.65652,1.0477,0.36087,0.00268,0.000636762,0.000636762,0.000636762
114,1465.4,1.22744,0.56846,0.00328,0.96225,0.87306,0.94927,0.65601,1.0248,0.37165,0.00261,0.000629689,0.000629689,0.000629689
115,1478.23,1.23502,0.53641,0.0028,0.90977,0.85434,0.93602,0.63509,1.08663,0.40318,0.00273,0.000622615,0.000622615,0.000622615
116,1490.24,1.24667,0.58722,0.00331,0.92001,0.86394,0.93435,0.64612,1.02446,0.41869,0.00261,0.000615542,0.000615542,0.000615542
117,1502.61,1.23639,0.6049,0.00362,0.95864,0.85451,0.9413,0.65263,1.01544,0.41922,0.00258,0.000608468,0.000608468,0.000608468
118,1515.89,1.23956,0.58306,0.00325,0.95708,0.88551,0.94855,0.65564,1.01547,0.35913,0.00255,0.000601395,0.000601395,0.000601395
119,1529.06,1.23686,0.55852,0.00304,0.9684,0.8363,0.93873,0.64589,1.04413,0.38511,0.00267,0.000594321,0.000594321,0.000594321
120,1542.44,1.23667,0.53842,0.00271,0.9225,0.86265,0.94023,0.64581,1.05946,0.41108,0.00268,0.000587248,0.000587248,0.000587248
121,1555.57,1.24833,0.5738,0.00298,0.95641,0.87039,0.94332,0.65695,1.01686,0.36367,0.00254,0.000580174,0.000580174,0.000580174
122,1568.26,1.2132,0.5706,0.00313,0.96121,0.88111,0.95146,0.66601,1.00747,0.36678,0.00252,0.0005731,0.0005731,0.0005731
123,1580.07,1.26231,0.61043,0.00327,0.96512,0.86041,0.94708,0.65861,1.01438,0.3749,0.00257,0.000566027,0.000566027,0.000566027
124,1592.95,1.21015,0.55977,0.00314,0.95815,0.85037,0.94168,0.65418,1.0187,0.40292,0.0026,0.000558953,0.000558953,0.000558953
125,1605.96,1.26675,0.56931,0.00299,0.9677,0.87551,0.94734,0.65757,1.03631,0.37168,0.00262,0.00055188,0.00055188,0.00055188
126,1619.48,1.2616,0.58981,0.00315,0.83058,0.90419,0.91417,0.573,1.27625,0.50595,0.00334,0.000544806,0.000544806,0.000544806
127,1632.67,1.26046,0.56427,0.00301,0.95472,0.84764,0.94455,0.64306,1.04792,0.39111,0.00269,0.000537733,0.000537733,0.000537733
128,1645.85,1.21484,0.57022,0.00301,0.96869,0.85316,0.94764,0.66034,1.03354,0.36455,0.00257,0.000530659,0.000530659,0.000530659
129,1658.75,1.21917,0.56732,0.00319,0.88238,0.94687,0.9489,0.64661,1.06751,0.39868,0.00269,0.000523586,0.000523586,0.000523586
130,1671,1.20163,0.53393,0.00286,0.9583,0.89425,0.95364,0.66406,0.99763,0.35956,0.0025,0.000516512,0.000516512,0.000516512
131,1683.52,1.20379,0.52062,0.0028,0.924,0.9127,0.95624,0.66762,1.01704,0.36044,0.00254,0.000509438,0.000509438,0.000509438
132,1696.8,1.2649,0.5569,0.00319,0.92641,0.90107,0.95808,0.64628,1.07343,0.40221,0.00271,0.000502365,0.000502365,0.000502365
