epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5899.32,0.95505,0.45884,0.01183,0.96452,0.96435,0.98971,0.80583,0.69725,0.22119,0.01215,0.000775822,0.000775822,0.000775822
56,6005.93,0.94828,0.499,0.01159,0.94996,0.96916,0.98964,0.81264,0.6888,0.21488,0.01197,0.000759318,0.000759318,0.000759318
57,6114.64,0.93426,0.47586,0.01191,0.96736,0.97377,0.99137,0.81668,0.66864,0.2075,0.01152,0.000742815,0.000742815,0.000742815
58,6221.36,0.94417,0.46458,0.01194,0.96632,0.9625,0.99031,0.80821,0.68604,0.21376,0.01184,0.000726312,0.000726312,0.000726312
59,6329.55,0.91341,0.46401,0.01144,0.96556,0.96106,0.99001,0.82264,0.66768,0.20783,0.01187,0.000709809,0.000709809,0.000709809
60,6440.16,0.94122,0.46658,0.01154,0.96818,0.97257,0.9918,0.82064,0.66343,0.20835,0.01148,0.000693305,0.000693305,0.000693305
61,6548.61,0.91321,0.43426,0.0115,0.96652,0.97666,0.99213,0.83335,0.61582,0.19554,0.0106,0.000676802,0.000676802,0.000676802
62,6656.7,0.92885,0.46813,0.0117,0.97482,0.97568,0.99217,0.82195,0.65481,0.20239,0.01138,0.000660299,0.000660299,0.000660299
63,6764.57,0.91274,0.44595,0.0115,0.98634,0.96712,0.99304,0.82257,0.67486,0.20869,0.01195,0.000643795,0.000643795,0.000643795
64,6872.12,0.89916,0.44482,0.01116,0.98571,0.96647,0.99255,0.82886,0.64893,0.20477,0.01123,0.000627292,0.000627292,0.000627292
65,6979.05,0.89911,0.43356,0.01112,0.97567,0.97163,0.99134,0.8267,0.65637,0.20473,0.01148,0.000610789,0.000610789,0.000610789
66,7088.79,0.89022,0.43392,0.01118,0.97962,0.97377,0.99275,0.8283,0.63196,0.20113,0.01091,0.000594286,0.000594286,0.000594286
67,7197.15,0.90564,0.42937,0.01139,0.97238,0.97294,0.99103,0.83539,0.621,0.19749,0.01071,0.000577782,0.000577782,0.000577782
68,7305.34,0.91081,0.42282,0.01139,0.96608,0.96831,0.99064,0.8376,0.61491,0.19222,0.01065,0.000561279,0.000561279,0.000561279
69,7415.2,0.88821,0.42429,0.01102,0.97149,0.97276,0.99148,0.83622,0.60243,0.19086,0.01049,0.000544776,0.000544776,0.000544776
